Date,Open,High,Low,Close,Adj Close,Volume
2019-08-07,1380.000000,1389.900024,1352.849976,1360.050049,1270.630371,2247223
2019-08-08,1370.000000,1372.000000,1340.099976,1360.650024,1271.190674,2788577
2019-08-09,1372.000000,1392.500000,1361.099976,1364.599976,1274.881104,2419380
2019-08-13,1370.000000,1370.000000,1307.000000,1313.250000,1226.906982,3135817
2019-08-14,1320.000000,1340.949951,1316.000000,1333.699951,1246.012573,2798429
2019-08-16,1335.000000,1339.900024,1320.500000,1335.250000,1247.460938,2654524
2019-08-19,1339.000000,1360.949951,1339.000000,1352.199951,1263.296143,2509331
2019-08-20,1352.949951,1355.550049,1334.000000,1342.500000,1254.234253,2145169
2019-08-21,1341.199951,1341.900024,1302.550049,1310.650024,1224.478271,2361165
2019-08-22,1302.000000,1327.449951,1283.150024,1294.250000,1209.156372,3780476
2019-08-23,1290.000000,1297.449951,1274.000000,1286.500000,1201.915894,5252370
2019-08-26,1310.000000,1343.199951,1276.550049,1333.650024,1245.965942,3759248
2019-08-27,1344.849976,1379.949951,1343.650024,1356.949951,1267.733887,5431422
2019-08-28,1362.099976,1370.000000,1336.099976,1344.650024,1256.242798,2272465
2019-08-29,1339.900024,1355.000000,1332.250000,1342.449951,1254.187256,2421312
2019-08-30,1344.949951,1356.900024,1302.900024,1328.250000,1240.921143,3715119
2019-09-03,1327.000000,1327.000000,1290.000000,1294.400024,1209.296509,3617815
2019-09-04,1296.000000,1314.300049,1292.400024,1308.050049,1222.048950,2786181
2019-09-05,1312.849976,1338.000000,1308.650024,1320.300049,1233.493652,2758679
2019-09-06,1328.449951,1334.000000,1320.349976,1328.650024,1241.294556,1694661
2019-09-09,1330.000000,1361.800049,1323.050049,1357.000000,1267.780640,3508361
2019-09-11,1364.000000,1383.800049,1356.000000,1363.650024,1273.993530,2545642
2019-09-12,1370.099976,1379.750000,1355.349976,1362.400024,1272.825562,2249695
2019-09-13,1362.000000,1366.949951,1344.099976,1363.449951,1273.806641,1771658
2019-09-16,1354.000000,1356.949951,1338.599976,1343.599976,1255.261719,1835805
2019-09-17,1344.000000,1345.000000,1310.199951,1313.699951,1227.327637,2210178
2019-09-18,1320.099976,1328.400024,1313.300049,1318.000000,1231.344849,2081625
2019-09-19,1320.000000,1320.199951,1298.000000,1300.699951,1215.182129,1808736
2019-09-20,1305.000000,1416.449951,1289.099976,1411.500000,1318.697632,9975807
2019-09-23,1452.000000,1551.000000,1451.000000,1528.500000,1428.004883,12082820
2019-09-24,1524.000000,1524.000000,1475.550049,1481.300049,1383.908447,3831602
2019-09-25,1480.900024,1481.699951,1446.650024,1450.099976,1354.759766,2746428
2019-09-26,1456.300049,1495.000000,1456.300049,1489.849976,1391.896118,3560962
2019-09-27,1484.050049,1491.699951,1462.000000,1472.650024,1375.827026,2167976
2019-09-30,1473.000000,1484.000000,1448.199951,1474.250000,1377.321899,2961398
2019-10-01,1480.000000,1496.449951,1439.150024,1464.050049,1367.792603,2578275
2019-10-03,1445.449951,1475.500000,1422.250000,1458.050049,1362.186890,1966976
2019-10-04,1463.800049,1474.000000,1420.099976,1424.900024,1331.216553,3266487
2019-10-07,1420.000000,1429.000000,1381.050049,1397.849976,1305.944946,2192329
2019-10-09,1401.000000,1433.400024,1399.099976,1426.250000,1332.477661,1818865
2019-10-10,1423.000000,1432.000000,1407.050049,1425.099976,1331.403320,1626821
2019-10-11,1431.000000,1450.000000,1420.199951,1427.699951,1333.832397,2024214
2019-10-14,1435.000000,1439.900024,1418.349976,1423.949951,1330.328857,2220364
2019-10-15,1429.099976,1444.800049,1420.650024,1432.250000,1338.083252,1797471
2019-10-16,1440.000000,1441.800049,1416.250000,1424.199951,1330.562500,2446615
2019-10-17,1428.000000,1438.599976,1420.199951,1424.349976,1330.702637,2304434
2019-10-18,1428.000000,1457.000000,1425.400024,1447.800049,1352.610840,3516394
2019-10-22,1448.500000,1467.800049,1439.150024,1442.550049,1347.706055,2858390
2019-10-23,1445.000000,1448.900024,1418.599976,1431.800049,1337.662842,2410781
2019-10-24,1460.000000,1467.000000,1426.349976,1432.250000,1338.083252,3646005
2019-10-25,1439.949951,1441.699951,1420.099976,1425.000000,1331.309937,2013793
2019-10-27,1436.699951,1438.949951,1428.849976,1434.400024,1340.092041,398258
2019-10-29,1435.500000,1464.800049,1431.000000,1461.099976,1365.036499,3351491
2019-10-30,1469.949951,1491.949951,1465.000000,1474.250000,1377.321899,3722066
2019-10-31,1481.000000,1486.500000,1467.250000,1473.050049,1376.200684,2210277
2019-11-01,1476.699951,1481.050049,1445.000000,1449.400024,1354.105591,2287220
2019-11-04,1457.800049,1468.000000,1450.000000,1452.199951,1356.721558,1459894
2019-11-05,1455.000000,1459.599976,1432.000000,1439.800049,1345.136841,2401916
2019-11-06,1440.000000,1466.949951,1437.750000,1453.050049,1357.515869,2434431
2019-11-07,1459.949951,1459.949951,1431.000000,1435.050049,1340.699097,1999085
2019-11-08,1429.949951,1448.000000,1420.000000,1423.000000,1329.441406,2217408
2019-11-11,1419.199951,1430.750000,1408.050049,1417.000000,1323.835815,2097492
2019-11-13,1418.449951,1419.849976,1389.050049,1393.000000,1301.413818,2929404
2019-11-14,1397.000000,1405.949951,1376.949951,1380.449951,1289.688843,3000518
2019-11-15,1383.599976,1392.699951,1366.199951,1377.650024,1287.072998,3409434
2019-11-18,1388.000000,1393.800049,1361.250000,1364.500000,1274.787720,2733161
2019-11-19,1364.500000,1378.199951,1361.500000,1365.750000,1275.955444,2396206
2019-11-20,1372.000000,1393.349976,1365.349976,1380.800049,1290.015991,3914075
2019-11-21,1405.000000,1417.900024,1385.000000,1392.699951,1301.133423,5719318
2019-11-22,1393.750000,1398.949951,1371.000000,1378.650024,1288.007324,2363205
2019-11-25,1378.500000,1389.000000,1371.099976,1380.849976,1290.062622,2956576
2019-11-26,1379.349976,1380.000000,1359.550049,1363.000000,1273.386230,4853977
2019-11-27,1365.000000,1370.000000,1314.150024,1335.500000,1247.694214,7904745
2019-11-28,1344.000000,1354.000000,1327.199951,1349.900024,1261.147583,4503913
2019-11-29,1350.000000,1350.199951,1328.000000,1330.550049,1243.069824,2515083
2019-12-02,1330.550049,1342.900024,1320.349976,1333.349976,1245.685791,3044008
2019-12-03,1333.449951,1333.449951,1310.000000,1313.199951,1226.860474,3068849
2019-12-04,1310.000000,1312.000000,1282.150024,1285.099976,1200.607788,10230371
2019-12-05,1294.000000,1313.000000,1285.150024,1302.199951,1216.583496,6644324
2019-12-06,1308.849976,1309.000000,1283.099976,1290.800049,1205.933350,3302384
2019-12-09,1294.000000,1298.900024,1271.800049,1276.000000,1192.106323,3038475
2019-12-10,1277.000000,1284.000000,1267.150024,1279.000000,1194.909180,2759100
2019-12-11,1282.949951,1288.750000,1255.000000,1264.300049,1181.175659,3949135
2019-12-12,1270.000000,1282.849976,1268.199951,1279.699951,1195.563110,3264836
2019-12-13,1287.949951,1308.000000,1285.300049,1305.300049,1219.479980,3655956
2019-12-16,1314.449951,1318.000000,1300.000000,1303.000000,1217.330933,3969819
2019-12-17,1309.199951,1325.000000,1303.800049,1317.949951,1231.298096,3719446
2019-12-18,1324.750000,1325.949951,1314.599976,1319.349976,1232.606079,2961222
2019-12-19,1316.750000,1321.000000,1307.099976,1311.750000,1225.505615,1936623
2019-12-20,1313.000000,1327.900024,1307.300049,1311.550049,1225.318970,3297390
2019-12-23,1307.900024,1322.000000,1305.000000,1311.250000,1225.038818,3394916
2019-12-24,1314.650024,1319.000000,1298.000000,1301.000000,1215.462524,1803814
2019-12-26,1299.650024,1306.699951,1277.000000,1279.300049,1195.189331,3723801
2019-12-27,1281.550049,1301.849976,1280.150024,1299.599976,1214.154541,2459664
2019-12-30,1301.900024,1307.199951,1296.500000,1302.300049,1216.677246,2072838
2019-12-31,1300.000000,1310.000000,1291.150024,1298.199951,1212.846558,3043254
2020-01-01,1308.400024,1318.900024,1303.000000,1309.949951,1223.823975,3123998
2020-01-02,1312.000000,1348.000000,1311.000000,1345.300049,1256.849976,4335359
2020-01-03,1344.949951,1344.949951,1330.150024,1335.050049,1247.273804,2059871
2020-01-06,1331.000000,1332.000000,1314.099976,1316.750000,1230.177002,2646905
2020-01-07,1328.000000,1339.500000,1313.750000,1320.500000,1233.680542,2077893
2020-01-08,1302.000000,1308.699951,1283.349976,1291.550049,1206.633911,4147568
2020-01-09,1311.000000,1319.900024,1305.099976,1316.150024,1229.616577,2067779
2020-01-10,1319.000000,1335.949951,1319.000000,1324.599976,1237.510986,2360798
2020-01-13,1329.000000,1339.400024,1328.699951,1334.699951,1246.946899,1825244
2020-01-14,1329.800049,1331.000000,1315.099976,1326.099976,1238.912231,2046500
2020-01-15,1325.599976,1336.150024,1320.000000,1323.599976,1236.576660,2127677
2020-01-16,1327.699951,1332.900024,1317.400024,1319.300049,1232.559448,1773135
2020-01-17,1320.599976,1325.949951,1302.000000,1304.199951,1218.452148,2941837
2020-01-20,1313.949951,1319.900024,1306.500000,1309.599976,1223.497070,2542477
2020-01-21,1304.750000,1313.900024,1300.449951,1302.349976,1216.723755,1361576
2020-01-22,1311.000000,1312.000000,1292.000000,1294.199951,1209.109619,2449753
2020-01-23,1307.000000,1339.849976,1306.000000,1332.300049,1244.704834,10056067
2020-01-24,1332.000000,1367.849976,1332.000000,1359.199951,1269.836060,5837319
2020-01-27,1340.000000,1364.900024,1340.000000,1348.599976,1259.932861,2510013
2020-01-28,1350.900024,1355.000000,1338.000000,1346.650024,1258.111206,2352852
2020-01-29,1353.099976,1374.949951,1352.099976,1365.699951,1275.908691,3678474
2020-01-30,1365.949951,1376.800049,1353.000000,1370.199951,1280.112915,2743506
2020-01-31,1375.949951,1377.000000,1360.449951,1369.300049,1279.271973,3939306
2020-02-03,1290.000000,1303.900024,1272.000000,1286.650024,1202.056274,5767353
2020-02-04,1296.000000,1307.300049,1287.550049,1291.750000,1206.820801,3604309
2020-02-05,1297.900024,1325.000000,1295.000000,1310.050049,1223.917603,4220104
2020-02-06,1322.900024,1325.000000,1309.050049,1317.599976,1230.971069,2354458
2020-02-07,1313.050049,1314.400024,1296.000000,1299.000000,1213.593994,3053804
2020-02-10,1300.000000,1302.449951,1273.099976,1285.300049,1200.794922,3039992
2020-02-11,1292.000000,1298.949951,1284.000000,1286.900024,1202.289673,2200796
2020-02-12,1289.099976,1299.849976,1280.000000,1297.300049,1212.005981,2568696
2020-02-13,1299.000000,1299.849976,1285.000000,1292.250000,1207.287964,1545536
2020-02-14,1295.000000,1304.949951,1290.599976,1295.150024,1209.997314,1780119
2020-02-17,1297.000000,1297.849976,1277.000000,1280.199951,1196.030029,2155085
2020-02-18,1281.500000,1289.800049,1266.449951,1286.349976,1201.775879,2347917
2020-02-19,1298.000000,1299.000000,1276.599976,1281.400024,1197.151245,1820353
2020-02-20,1279.900024,1288.900024,1275.300049,1280.599976,1196.403809,3034681
2020-02-24,1271.900024,1271.900024,1252.650024,1259.699951,1176.877930,3414064
2020-02-25,1262.199951,1265.650024,1240.150024,1242.050049,1160.388306,3133077
2020-02-26,1235.000000,1238.000000,1206.000000,1211.150024,1131.520020,5721483
2020-02-27,1212.349976,1216.949951,1200.000000,1210.349976,1130.772583,4003149
2020-02-28,1189.650024,1196.449951,1162.000000,1187.550049,1109.471680,6286647
2020-03-02,1205.000000,1212.349976,1150.550049,1160.900024,1084.573730,3177486
2020-03-03,1166.000000,1186.800049,1162.050049,1181.300049,1103.632690,3134527
2020-03-04,1185.000000,1187.849976,1158.000000,1176.650024,1099.288330,3135151
2020-03-05,1180.099976,1187.250000,1166.199951,1182.449951,1104.706909,2625152
2020-03-06,1148.000000,1164.000000,1130.849976,1158.900024,1082.705200,3956575
2020-03-09,1135.800049,1135.800049,1067.300049,1101.949951,1029.499512,8038295
2020-03-11,1090.000000,1120.949951,1085.800049,1116.949951,1043.513306,5628125
2020-03-12,1070.000000,1070.050049,1004.099976,1016.549988,949.714417,9200130
2020-03-13,950.000000,1060.449951,890.000000,1051.449951,982.319885,8117911
2020-03-16,1014.250000,1042.000000,961.900024,968.700012,905.010437,6671806
2020-03-17,972.000000,1005.000000,940.150024,956.750000,893.846191,4720207
2020-03-18,968.000000,974.750000,900.000000,904.549988,845.078125,5586097
2020-03-19,873.900024,884.000000,837.700012,843.099976,787.668274,7251950
2020-03-20,849.000000,877.799988,831.299988,864.700012,807.848206,6130185
2020-03-23,809.000000,809.950012,706.000000,724.049988,676.445557,7308612
2020-03-24,755.000000,755.750000,672.000000,707.900024,670.619446,7110384
2020-03-25,697.200012,775.000000,661.000000,765.750000,725.422913,16122446
2020-03-26,787.750000,842.299988,754.150024,838.000000,793.867981,9028497
2020-03-27,867.900024,890.000000,812.000000,837.049988,792.968018,6573448
2020-03-30,801.000000,815.000000,791.000000,798.650024,756.590332,4474168
2020-03-31,820.000000,823.000000,791.200012,808.500000,765.921570,8045468
2020-04-01,806.849976,812.400024,766.549988,774.349976,733.570007,4104403
2020-04-03,791.099976,791.099976,762.799988,774.650024,733.854126,4268480
2020-04-07,805.000000,813.000000,791.000000,801.650024,759.432312,5768998
2020-04-08,804.000000,832.000000,797.700012,807.099976,764.595215,6151091
2020-04-09,834.349976,834.349976,804.400024,812.799988,769.995056,6410296
2020-04-13,812.799988,872.400024,807.950012,865.450012,819.872375,9462711
2020-04-15,890.950012,926.599976,869.000000,880.150024,833.798218,10435477
2020-04-16,875.950012,919.799988,870.150024,911.650024,863.639282,6980512
2020-04-17,930.000000,940.000000,916.000000,932.900024,883.770142,5827648
2020-04-20,940.799988,943.000000,911.000000,915.599976,867.381226,4958362
2020-04-21,897.000000,906.599976,863.000000,870.349976,824.514160,5122305
2020-04-22,873.000000,885.500000,850.000000,852.599976,807.699036,6090168
2020-04-23,860.000000,869.500000,835.000000,840.599976,796.330994,6321888
2020-04-24,838.000000,869.000000,834.150024,851.200012,806.372864,7960368
2020-04-27,861.950012,874.900024,852.250000,855.250000,810.209473,4224177
2020-04-28,863.799988,867.700012,852.099976,857.150024,812.009460,3772704
2020-04-29,862.000000,883.049988,854.000000,875.349976,829.250854,4837925
2020-04-30,890.200012,916.799988,884.099976,897.549988,850.281799,6332497
2020-05-04,880.000000,880.000000,845.000000,850.650024,805.851746,4678576
2020-05-05,861.000000,869.799988,835.000000,836.900024,792.825928,4296433
2020-05-06,838.000000,848.000000,817.599976,837.299988,793.204773,5081524
2020-05-07,833.000000,836.049988,820.099976,822.849976,779.515808,3529134
2020-05-08,833.000000,834.849976,810.000000,815.950012,772.979187,4394509
2020-05-11,821.200012,827.500000,816.349976,821.599976,778.331604,2882920
2020-05-12,817.000000,819.250000,804.000000,814.799988,771.889771,3024381
2020-05-13,863.700012,871.950012,850.500000,862.900024,817.456604,8625444
2020-05-14,858.900024,879.599976,841.500000,871.650024,825.745850,6778584
2020-05-15,881.950012,885.000000,854.000000,864.400024,818.877686,5653901
2020-05-18,869.900024,870.000000,810.000000,813.349976,770.516052,6211249
2020-05-19,827.099976,833.799988,791.700012,796.349976,754.411377,5533176
2020-05-20,800.000000,841.000000,800.000000,835.000000,791.026001,5949898
2020-05-21,835.950012,845.000000,818.099976,820.500000,777.289551,4701930
2020-05-22,815.000000,826.500000,810.099976,815.700012,772.742310,4607479
2020-05-26,821.900024,842.700012,821.000000,825.549988,782.073608,4335209
2020-05-27,831.950012,857.200012,827.000000,850.849976,806.041199,5159287
2020-05-28,855.000000,912.000000,855.000000,905.500000,857.813110,11481079
2020-05-29,893.200012,937.500000,891.000000,932.250000,883.154419,10166556
2020-06-01,944.650024,974.150024,924.000000,928.150024,879.270325,7617144
2020-06-02,935.000000,953.000000,913.049988,945.450012,895.659241,7325471
2020-06-03,955.950012,972.849976,955.000000,961.299988,910.674500,4651554
2020-06-04,961.049988,968.000000,928.599976,930.700012,881.686096,5355931
2020-06-05,940.000000,959.900024,936.599976,955.250000,904.943176,6071040
2020-06-08,979.500000,995.000000,949.000000,961.349976,910.721863,9858804
2020-06-09,964.500000,970.250000,949.700012,953.299988,903.095825,5117749
2020-06-10,957.000000,959.500000,935.700012,946.549988,896.701294,5175923
2020-06-11,944.000000,952.000000,928.200012,930.450012,881.449219,3602957
2020-06-12,890.000000,929.900024,890.000000,926.400024,877.612549,5411314
2020-06-15,921.799988,929.450012,894.099976,899.900024,852.508118,4982324
2020-06-16,920.000000,924.700012,891.150024,895.049988,847.913452,4661460
2020-06-17,892.700012,899.750000,881.099976,884.799988,838.203308,4681085
2020-06-18,876.000000,900.000000,874.000000,896.650024,849.429321,5869802
2020-06-19,902.000000,915.900024,895.099976,898.200012,850.897644,5409996
2020-06-22,905.000000,916.000000,896.000000,907.450012,859.660522,6839642
2020-06-23,910.000000,970.000000,909.000000,967.599976,916.642761,14580218
2020-06-24,979.000000,989.900024,952.000000,955.549988,905.227295,11985132
2020-06-25,949.900024,964.799988,936.250000,943.099976,893.432983,7508087
2020-06-26,955.000000,976.099976,940.500000,962.200012,911.527039,6554103
2020-06-29,950.000000,956.099976,930.000000,936.599976,887.275269,4575801
2020-06-30,948.700012,952.150024,931.400024,943.650024,893.954102,3656480
2020-07-01,941.000000,941.000000,917.000000,924.299988,875.623047,6426017
2020-07-02,936.000000,950.700012,926.000000,941.299988,891.727783,6542705
2020-07-03,948.000000,955.400024,941.599976,944.250000,894.522461,3928063
2020-07-06,953.099976,959.500000,946.650024,951.200012,901.106384,3900219
2020-07-07,955.000000,961.900024,940.000000,943.599976,893.906677,4051767
2020-07-08,944.950012,964.400024,938.000000,941.250000,891.680481,5227021
2020-07-09,945.000000,952.000000,940.000000,944.950012,895.185608,3777760
2020-07-10,940.000000,952.000000,930.549988,932.150024,883.059692,4537688
2020-07-13,940.000000,944.799988,925.000000,928.150024,879.270325,3821300
2020-07-14,928.000000,934.950012,905.849976,912.900024,864.823425,3646237
2020-07-15,918.049988,925.000000,909.299988,912.200012,864.160339,3229770
2020-07-16,913.000000,924.000000,898.450012,921.150024,872.638977,3134451
2020-07-17,922.099976,929.950012,918.000000,925.549988,876.807251,2040517
2020-07-20,929.000000,931.900024,915.000000,919.599976,871.170654,3035845
2020-07-21,927.000000,942.299988,920.599976,938.049988,888.648926,4756570
2020-07-22,939.200012,941.000000,910.000000,920.900024,872.402161,4977432
2020-07-23,912.000000,937.950012,911.349976,916.549988,868.281189,9075059
2020-07-24,914.400024,914.500000,898.049988,904.400024,856.771057,6059379
2020-07-27,908.000000,915.000000,896.299988,903.799988,856.202698,3615970
2020-07-28,908.799988,917.000000,899.000000,913.500000,865.391846,3793721
2020-07-29,919.599976,940.849976,917.250000,921.950012,873.396851,7245021
2020-07-30,929.000000,932.700012,904.200012,908.250000,860.418335,3364408
2020-07-31,913.900024,922.900024,907.049988,913.450012,865.344543,2943858
2020-08-03,913.000000,919.750000,903.549988,915.900024,867.665466,3583167
2020-08-04,918.000000,930.000000,916.599976,924.250000,875.575745,3860346
2020-08-05,923.950012,934.500000,920.799988,925.750000,884.653931,3007723
2020-08-06,926.049988,933.700012,920.250000,922.150024,881.213806,2188023
2020-08-07,922.549988,926.849976,914.099976,915.650024,875.002441,2461109
2020-08-10,925.000000,970.000000,925.000000,960.049988,917.431335,11861641
2020-08-11,969.599976,979.700012,957.099976,961.900024,919.199280,5427516
2020-08-12,952.000000,956.000000,945.000000,949.750000,907.588623,3672458
2020-08-13,957.000000,993.650024,951.549988,990.700012,946.720703,8816193
2020-08-14,999.950012,1017.000000,973.400024,982.799988,939.171448,13443785
2020-08-17,1002.000000,1007.000000,987.700012,1000.799988,956.372375,4735094
2020-08-18,1005.950012,1008.000000,995.400024,1004.549988,959.955872,4362050
2020-08-19,1017.250000,1024.949951,1005.400024,1009.099976,964.303894,4914223
2020-08-20,986.000000,1005.000000,981.000000,995.750000,951.546509,4791040
2020-08-21,1010.000000,1010.000000,992.000000,994.150024,950.017578,2806380
2020-08-24,996.000000,1001.400024,990.000000,991.349976,947.341858,2026255
2020-08-25,993.000000,999.900024,977.799988,980.400024,936.877991,2914757
2020-08-26,987.000000,988.000000,965.000000,968.950012,925.936218,4482066
2020-08-27,975.250000,980.000000,965.299988,975.599976,932.291016,4466609
2020-08-28,988.000000,1004.700012,978.200012,981.849976,938.263611,7821191
2020-08-31,988.099976,995.400024,940.400024,944.950012,903.001648,8489726
2020-09-01,964.950012,966.000000,943.299988,955.200012,912.796692,5099949
2020-09-02,956.450012,959.799988,948.000000,955.549988,913.131042,2107714
2020-09-03,960.000000,971.000000,953.299988,961.150024,918.482544,3278899
2020-09-04,948.000000,956.150024,940.000000,942.500000,900.660461,3130721
2020-09-07,947.150024,950.750000,916.250000,932.150024,890.769897,3470806
2020-09-08,936.000000,936.000000,912.950012,916.700012,876.005737,3738931
2020-09-09,907.549988,928.000000,901.000000,909.500000,869.125366,5656245
2020-09-10,917.700012,923.000000,912.000000,920.950012,880.067078,2948599
2020-09-11,920.000000,921.549988,912.000000,917.400024,876.674683,2632298
2020-09-14,922.400024,923.349976,901.000000,902.099976,862.053833,5006356
2020-09-15,910.000000,915.200012,900.000000,909.950012,869.555420,4488829
2020-09-16,915.000000,924.000000,911.349976,921.799988,880.879333,3596197
2020-09-17,915.000000,917.950012,905.049988,906.299988,866.067383,4512652
2020-09-18,911.200012,914.099976,897.000000,900.700012,860.716003,7496145
2020-09-21,901.000000,903.799988,874.299988,881.849976,842.702759,4597697
2020-09-22,887.950012,887.950012,852.000000,856.500000,818.478088,5089087
2020-09-23,866.200012,873.700012,854.549988,860.599976,822.396179,3709291
2020-09-24,856.000000,859.900024,843.000000,850.700012,812.935608,11609426
2020-09-25,860.099976,895.400024,852.000000,889.250000,849.774292,4961967
2020-09-28,898.000000,917.500000,893.000000,902.849976,862.770508,3853608
2020-09-29,909.950012,912.849976,892.400024,895.450012,855.699036,3362381
2020-09-30,897.799988,904.500000,884.099976,901.599976,861.575989,3582787
2020-10-01,909.950012,913.599976,900.700012,902.799988,862.722778,2506154
2020-10-05,907.950012,908.549988,895.049988,896.950012,857.132507,2788003
2020-10-06,901.049988,904.549988,888.250000,892.599976,852.975586,3497325
2020-10-07,895.000000,895.000000,876.049988,887.900024,848.484253,5073845
2020-10-08,890.299988,894.000000,879.049988,881.049988,841.938354,3918217
2020-10-09,887.400024,914.950012,885.599976,908.450012,868.121948,9668150
2020-10-12,916.950012,925.750000,902.049988,905.750000,865.541809,6188905
2020-10-13,907.950012,915.700012,888.849976,896.450012,856.654663,4548652
2020-10-14,897.000000,917.000000,887.200012,915.200012,874.572327,5286914
2020-10-15,913.000000,919.000000,885.400024,888.799988,849.344299,4927777
2020-10-16,894.000000,903.500000,889.500000,894.099976,854.408936,2373435
2020-10-19,899.000000,906.000000,884.000000,902.900024,862.818359,5800391
2020-10-20,919.000000,935.500000,913.000000,917.299988,876.579102,13188572
2020-10-21,924.950012,931.000000,908.650024,924.450012,883.411682,6390783
2020-10-22,922.000000,939.000000,920.150024,936.299988,894.735657,6151367
2020-10-23,940.000000,948.500000,928.000000,941.250000,899.465942,5102184
2020-10-26,949.849976,959.250000,943.000000,951.750000,909.499695,6975809
2020-10-27,960.000000,986.000000,955.150024,981.950012,938.359192,9638520
2020-10-28,989.950012,994.650024,974.200012,982.849976,939.219177,7369181
2020-10-29,951.099976,958.799988,926.000000,934.500000,893.015564,11852038
2020-10-30,941.000000,946.799988,924.200012,929.500000,888.237549,4797473
2020-11-02,930.000000,937.950012,920.650024,929.299988,888.046387,3682174
2020-11-03,944.900024,952.900024,932.500000,947.750000,905.677429,4049112
2020-11-04,934.250000,950.650024,930.000000,939.849976,915.515869,3369408
2020-11-05,952.000000,959.799988,944.299988,958.099976,933.293335,2889134
2020-11-06,959.000000,967.500000,950.099976,960.750000,935.874756,3419233
2020-11-09,971.000000,974.599976,962.400024,965.849976,940.842651,3040456
2020-11-10,975.000000,1036.900024,971.599976,1033.699951,1006.935913,12149416
2020-11-11,1040.000000,1062.800049,1021.250000,1059.449951,1032.019165,10254627
2020-11-12,1054.900024,1075.849976,1052.449951,1073.199951,1045.413208,6743163
2020-11-13,1065.050049,1068.150024,1038.099976,1051.500000,1024.275146,5025096
2020-11-14,1060.050049,1067.800049,1054.000000,1059.199951,1031.775635,911852
2020-11-17,1063.000000,1096.849976,1061.050049,1080.900024,1052.913940,7611327
2020-11-18,1080.900024,1154.250000,1079.150024,1148.150024,1118.422852,13436421
2020-11-19,1125.050049,1177.000000,1107.699951,1134.250000,1104.882568,10841151
2020-11-20,1140.000000,1161.000000,1118.500000,1132.300049,1102.983032,7009257
